date,time,headline,label
2021-05-01,00:37:22,傑森史塔森 沒 讓 人 失望 ， 整 場 超 緊湊 ， 真的 是 超爽片 ！ ！ ,1
2021-05-01,00:38:31,最 帥 光頭 傑森史塔森 怎麼 能 不 看 😍 劇情 也 超級 緊張 刺激 ～～～ 果然 是 史塔森+ 蓋瑞奇🤩💯 近期 最 好看 ！ ！ ！ ,1
2021-05-01,08:21:04,傑森史塔森 的 電影 絕無 冷場 ， 就 是 好看 。 ,1
2021-05-01,10:47:10,"真的 超 好看 ， 
 不 是 一般 無 腦 動作片 ，
 還 有點 懸疑感 ， 
嘴砲 鬥嘴 ， 皮笑肉 不 笑 反而 很 好笑 ， 
 時間 軸 跳剪 的 很 流暢 ， 
槍戰 看 了 緊張 到 不行 ， 
 超級 精彩 ， ",1
2021-05-01,12:06:12,我 想 光頭佬 唯一 失敗 的 電影 只有 ” 巨齒鯊 ” 吧 ～ ,1
2021-05-01,12:41:33,很 好看 的 一 部 電影 ， 不管 是 警匪 槍戰迷 還是 傑森史塔迷 都 不能 錯過 。 ,1
2021-05-01,13:30:22,"電影 節奏 掌握 的 不錯 

 雖然 開場 我 就 看出 可能 的 劇情 

 最後 沒想到 是 這樣 收尾

 這 種 搶匪 的 片子 還 不錯 
 可惜 首腦 犯罪 集團 的 部分 應該 在 刻劃 些 ， 但是 真的 好看 ！ ！ ！ 

 蠻 推薦 進 戲院 看 的 ， 加上 有 玩 GTAV 就 知道 這 電影 在 洛杉磯 拍攝 ， 熟悉 的 場景 阿阿阿XD ",1
2021-05-01,14:31:45,不愧 是 蓋瑞奇 ！ 超喜歡 😍😍😍 今年 最 好看 ！ ！ ！ ,1
2021-05-01,20:12:48,下午 剛 看完 ， 這 片 不 是 那 種 乒乒 砰砰 一路 從頭無腦 打到 尾 的 老梗 爽片 ， 但 我 看完 覺得 很 爽 。 不同 視角 時序 跳轉 的 說 故事 手法 讓 整 片 妙趣 橫生 ， 復仇 和 復仇 所 帶來 的 後果 才 是 爽片 包裝 下 的 母題 ， 留 一 星 的 人 是 認真 有 看過 這 片 嗎 ？ 拍成 這樣 給 一 星 ？ ？ ？ ,1
2021-05-01,21:47:17,"爽片 中 的 爽片 ， 相當 好 。 
爽片 中 的 爽片 ， 相當 好 。 
爽片 中 的 爽片 ， 相當 好 。 ",1
2021-05-01,23:41:53,總而言之 只 有 一 句 話 、 超 好看 的 、 傑森史塔森 就 是 帥 ,1
2021-05-01,23:42:37,"要 看 的 人 可以 先 客觀 了 解 我 的 觀點 
1 . 這 是 一 部 劇情 敘述片 ( 非 ) 動作片 
2 . 有 些許 詼諧 的 片段 不 算 悶片
3 . 結局 的 收尾 實在 是 有點 令 人 失望 
4 . 必須 準備好 不 是 以往 傑森 拍片 風格 ",1
2021-05-02,11:00:27,還是 絕對 魅力 的 Jason  Statham ， 贊 ！ ,1
2021-05-02,13:21:07,剛 看完 ， 意外 好看 ， 以前 對 傑森史塔森 沒 什麼 感覺 ， 但 這 片 裡 的 他 很 帥 很 性格 ， 有 推薦 他 以前 的 什麼 片 嗎 ?   想 去 補 ,1
2021-05-02,13:54:23,好看 。 劇情 敘述 也 是 時間 交錯 的 方式 ， 但 不會 看 不 懂 ， 越 到 後面 越 精彩 ( 很 喜歡 懸疑 的 氣氛 ) 。 另外 蓋瑞奇導 的 電影 配樂 很 好聽👍 ,1
2021-05-02,14:24:26,Its  one of the best action-packed film ,1
2021-05-02,15:21:05,蠻 好看 的 呢 ！ 轉來轉去 的 手法 ！ 槍法 就 是 準 ,1
2021-05-02,17:03:23,"到底 哪裡 動作 場面 少 啦 ! =  = 害 我 差點 錯過 這 部 ! ! 
 看 電影 就 是 看爽 ! 不 是 在 給 你 讀書 ! ! 啥 都 要 邏輯到 一 個 正常 ! 
 那 沒有 一 部 能 看 了 ! ! ",1
2021-05-02,17:50:28,好看 ， 刺激 ， 流暢 ； 傑森史塔森 帥爆 ,1
2021-05-02,21:00:16,為 了 我 老公 而 看 的 ， 有 他 的 片 就 是 棒 ,1
2021-05-02,22:26:42,"劇情 給 3.5 - 4 顆 星 （ 同 個 場景 3 種 視角 太 膩 了 ） 。 
 特效 、 音效 以及 動作 給 4 顆 星 。 
 綜合 以上 再 加上 傑森史 （ 就 ） 塔 （ 是 ） 森 （ 帥 ） ， 
滿分 五 顆 星   ！ ",1
2021-05-02,23:32:33,傑森史塔森 太 帥 了   很 好看   劇情   音樂   幽默感   都 有 ,1
2021-05-03,00:29:03,"看到 ig 有 人 說 好看   就 去 看 了 ！ 
 真的 很 好看   沒 後悔 ",1
2021-05-03,00:43:50,"給 一 星 的 不 懂得 品嚐好 電影 
 一定 要 從頭 打到 尾 才 夠 爽 ？ ",1
2021-05-03,02:01:37,"很 好看 , 新式 的 搶劫 題材 , 夠 hardcore , 
 而且 有的 地方 竟然 有 笑點 幽默 , 大推 ~ 
 比 "" 極盜戰 "" 好看 N倍 ~ ",1
2021-05-03,09:33:50,期待 很 久 的 一 部 片 ， 蓋瑞奇 果然 不會 讓 觀眾 失望 ,1
2021-05-03,10:01:03,期待 已 久 ， 超級 好看 ， 精彩 刺激 。 ,1
2021-05-03,10:03:36,好看 無 冷場 ! 很 值得 進 戲院 觀看 ! ,1
2021-05-03,10:06:47,超級 好看 又 刺激   值得 一 看   讚讚 讚讚 ,1
2021-05-03,10:07:39,"傑森史塔森 終於 回來 了 ( 淚流滿面 ) 
 前年 看玩 命關頭 ： 特別 行動 到底 什麼 鬼 ^^ ",1
2021-05-03,10:25:13,"超爽  ㄅㄧㄤˋ ㄅㄧㄤˋ ㄅㄧㄤˋ ! ! 
 傑森 自礙 ! ! ! ",1
2021-05-03,10:33:32,"好看 , 題材 與 想像 中 不同 ， 一 部 爽片 。 ",1
2021-05-03,10:40:53,傑森史塔森 ×蓋瑞奇   真的 超棒 的 ! ! 非常 好看 ! ! ,1
2021-05-03,11:14:50,好 久 沒 進 電影院 ， 大 螢幕 看 真 開心 ,1
2021-05-03,11:34:27,"結論 好看 ， 傑森·史塔森 真的 帥 ， 霸氣 ！ 
 劇情 或許 太過 牽強 ， 但 電影 就 是 跳脫 不可能 中 的 可能 。 
 將 極端 的 條件 加 在一起 拍出 動作 爽片 。 
 值得 進 電影院 看 。 ",1
2021-05-03,11:46:07,過程 刺激 好看 ， 美中不足 的 是 ， 我 覺得 結尾 不 夠 過癮 ， 壞人 死 得 太 簡單 ,1
2021-05-03,12:12:42,很 久 沒 看 這 種 爽片 了 ， 超過癮 !  絕對 值得 進 戲院 看 大 螢幕 阿~~~~ ,1
2021-05-03,12:23:18,超 好看 的 ~ 還 沒 看 得 很 值得 一 看 喔 ! ,1
2021-05-03,16:09:36,很 久 沒 看到 好 電影 了 ! 太 好看 了 ! 讚 ,1
2021-05-03,16:59:46,"地表 最 強 光頭 果然 不 是 蓋 的 ! 
 這 次 還 跟 蓋瑞奇 合作 
 整 場 電影 沒有 冷場 ! ! ",1
2021-05-03,22:37:43,好看 啊 ！ 好 過癮 ！ 爽片 中 不 俗套 又 有 質感 的 ！ ,1
2021-05-04,02:27:16,我 喜歡 這 部 哲理 的 電影 🎬👍 ， 真的 很 好看 ， 但 要 專心 看 才 行 ， 強推 ^_^ ,1
2021-05-04,12:11:50,超 好看 的 ！ 尤其 是 傑森 精準 槍法 射殺 敵人 的 畫面 實在 是 太 酷炫 了 ！ ,1
2021-05-04,14:15:36,"傑森史塔森 和 蓋瑞奇 合作 就是 讚
 不過 這 是 以 劇情 為主 的 電影
 沒有 從頭 打到 尾 ～ 想 看 動作片 的 要 有 心理 準備 ",1
2021-05-04,19:33:58,超 好看 ! 比 玩命 那 種 浮誇 ， 這 種 相對 較 寫實 重裝 的 更 吸引 我 ， 蓋瑞奇 的 片 一向 不 拖泥帶水 ， 橋段 也 有趣 ， 最 主要 這 次 給 了 史塔克 一 個 超 華麗 神秘 的 角色 設定 ( 也 因為 這 角色 ， 若要 動拳腳 就 low 了 ) ! 非常 引人入勝 想 看 他 要 怎樣 達到 他 的 目的 ! ! 看完 想 二 刷 . . 喬許哈奈特 好 神奇 ， 這 摩多 年 過去 怎麼 還是 這樣 娃娃臉 . ... ,1
2021-05-04,22:40:17,"超 好看 沒 冷場 ～～～
 傑森史塔森 太帥
本 以為 應該 是 老套 劫運 鈔車 劇情 
 但是 穿插 慢慢 導出 報仇 真相 超 好看 ！ ",1
2021-05-05,17:18:06,好看 ！ 雖然 中間 劇情 一直 回溯 ， 但是 這樣 更 讓 人 印象深刻 ， 值得 進 電影院 看 ！ ,1
2021-05-05,18:49:01,毫無 冷場 ! 劇場 反轉 再 反轉 ! 很 出乎 人 意料 之外 ,1
2021-05-06,09:48:02,"夭壽 好看 ， 完全 沒有 冷場
 只是 覺得 好幾 個 人 長 得 好像 ， 臉盲 ! ",1
2021-05-06,16:40:26,配樂 給 這 部 加 了 很 大 的 分數 ， 驚悚感 上 身 ,1
2021-05-06,21:47:34,疫情 期間 爛片 一 堆 ， 很多 騙商 都 是 詐騙 集團 ， 終於 有 個 能 看 的 電影 ， 讓 我 從頭到尾 都 認真 看 ， 不會 看到 打瞌睡 ， 2 個 字 形容 ， 好看 ！ ,1
2021-05-07,18:37:29,劇情 鋪陳 很 順 不會 讓 人 覺得 看 得 很 累 ， ,1
2021-05-08,11:13:17,就 真的 好看 啊 不 信 喔   信 塔森 得 永生 ,1
2021-05-09,13:16:42,挺 好看 的 爽片   應該 是 近期 看過 的 電影   覺得 想 推薦 的 ,1
2021-05-09,22:16:57,剛剛 去 看 ~~ 真的 好看 ~~~~ 爆滿 ! ! ,1
2021-05-09,23:13:46,就 是 好看 ！ ！ ！ 😊傑森 就 是 超酷 帥 ,1
2021-05-12,00:21:21,"劇情 緊湊 刺激 ， 爽片 好看 ！ ！ ！ 
 推薦 一 個 ",1
2021-05-12,01:10:05,推推 推 ， 非常 好看 ， 很 喜歡 這樣 完整 呈現 的 劇情 ,1
2021-05-12,04:30:29,就 是 爽片 無誤 ！ 同 一 個 案 發現場 可以 用 不同 角度 拍攝 還 蠻 喜歡 的 ！ ,1
2021-05-14,00:10:07,推演 方式 讓 人 深深 沈浸 在 劇情 中   雖然 內鬼 很 明顯   很 好 猜   但 還是 非常 好看   很 推薦 ,1
2021-05-14,04:47:03,從 重 節奏 的 配樂 開始 ， 一直 讓 人 感覺 不安 ， 復仇 的 情節 不 落俗套 ， 前後 對照 跳接 ， 加深 了 懸疑 ， 當然 少不了 男主 的 霸氣 動作 ， 直到 劇終 才 讓 人 鬆 口 氣 ！ ,1
2021-05-16,02:12:59,音樂 的 搭配 + 傑森 的 各 種 就 是 帥 啊 ！ ,1
2021-05-18,15:56:54,爽片 無誤   看到 最後 越 緊張 刺激   人心 險惡   槍擊 場面   無 冷場   ！ ,1
